	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	televisao com antena parabolica	acesso a Internet no proprio domicilio	Para acessar Internet utiliza telefone celular	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
7	11	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0
8	11	3.0	1.0	1.0	2.0	2.0	2.0	2.0	4.0	5.0
9	11	3.0	3.0	1.0	2.0	2.0	4.0	4.0	2.0	4.0
17	11	3.0	3.0	3.0	2.0	4.0	2.0	4.0	4.0	4.0
22	11	3.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0	5.0
24	11	3.0	3.0	3.0	2.0	4.0	2.0	4.0	4.0	6.0
28	11	1.0	1.0	3.0	2.0	4.0	2.0	4.0	4.0	4.0
29	11	1.0	1.0	3.0	2.0	4.0	4.0	4.0	2.0	4.0
31	11	1.0	1.0	3.0	2.0	2.0	4.0	4.0	2.0	5.0
32	11	1.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0	5.0
34	11	3.0	5.0	1.0	2.0	2.0	4.0	4.0	2.0	5.0
36	11	3.0	5.0	3.0	2.0	2.0	4.0	4.0	2.0	4.0
40	11	1.0	5.0	3.0	2.0	4.0	4.0	4.0	2.0	3.0
43	11	1.0	5.0	3.0	2.0	4.0	4.0	4.0	2.0	2.0
46	11	1.0	1.0	5.0	2.0	4.0	4.0	4.0	2.0	3.0
47	11	3.0	5.0	5.0	2.0	4.0	4.0	4.0	2.0	4.0
51	11	3.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
53	11	3.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	0.0
59	11	3.0	3.0	1.0	2.0	2.0	4.0	2.0	2.0	3.0
66	11	3.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0
77	11	3.0	1.0	3.0	2.0	2.0	4.0	4.0	2.0	6.0
80	11	3.0	3.0	3.0	2.0	2.0	4.0	4.0	2.0	3.0
82	11	3.0	1.0	3.0	2.0	4.0	4.0	4.0	2.0	99.0
84	11	3.0	3.0	1.0	2.0	4.0	4.0	4.0	2.0	2.0
85	11	3.0	3.0	1.0	2.0	4.0	4.0	4.0	2.0	2.0
86	11	3.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0	3.0
87	11	3.0	3.0	1.0	2.0	2.0	2.0	4.0	4.0	4.0
89	11	3.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0	1.0
92	11	3.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0	2.0
93	11	3.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0	3.0
95	11	3.0	3.0	3.0	2.0	2.0	2.0	4.0	4.0	3.0
99	11	3.0	3.0	1.0	2.0	2.0	2.0	4.0	4.0	4.0
102	11	3.0	3.0	3.0	2.0	2.0	2.0	4.0	4.0	3.0
114	11	3.0	3.0	1.0	2.0	2.0	2.0	4.0	4.0	4.0
118	11	1.0	1.0	1.0	2.0	2.0	2.0	4.0	4.0	4.0
134	11	3.0	1.0	3.0	2.0	4.0	2.0	4.0	4.0	0.0
151	11	3.0	3.0	1.0	2.0	2.0	4.0	4.0	2.0	5.0
155	11	3.0	1.0	3.0	2.0	2.0	4.0	4.0	2.0	99.0
