	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
3	23	3.0	1.0	1	2.0	4.0	2.0	4.0
5	23	3.0	1.0	0	4.0	4.0	2.0	5.0
8	23	3.0	1.0	1	2.0	4.0	2.0	4.0
10	23	1.0	1.0	1	2.0	4.0	2.0	5.0
11	23	3.0	1.0	1	2.0	4.0	2.0	6.0
13	23	3.0	1.0	1	2.0	4.0	2.0	4.0
15	23	3.0	1.0	1	2.0	4.0	2.0	3.0
17	23	3.0	5.0	1	4.0	4.0	2.0	3.0
18	23	1.0	1.0	3	4.0	4.0	2.0	4.0
19	23	3.0	5.0	0	4.0	2.0	4.0	3.0
20	23	3.0	3.0	1	4.0	4.0	2.0	4.0
23	23	3.0	1.0	2	4.0	4.0	2.0	6.0
27	23	1.0	1.0	1	4.0	4.0	2.0	6.0
28	23	1.0	1.0	2	4.0	2.0	2.0	6.0
29	23	3.0	3.0	0	4.0	4.0	2.0	4.0
31	23	3.0	5.0	1	4.0	4.0	2.0	6.0
32	23	3.0	3.0	1	4.0	2.0	4.0	2.0
33	23	3.0	1.0	1	4.0	2.0	4.0	1.0
37	23	3.0	1.0	1	2.0	2.0	4.0	3.0
39	23	3.0	1.0	0	2.0	2.0	4.0	1.0
42	23	3.0	1.0	1	4.0	2.0	4.0	4.0
43	23	3.0	1.0	0	4.0	2.0	4.0	4.0
44	23	3.0	1.0	1	2.0	2.0	4.0	5.0
45	23	3.0	1.0	1	4.0	2.0	4.0	3.0
50	23	3.0	1.0	1	2.0	2.0	4.0	3.0
54	23	3.0	3.0	0	2.0	4.0	4.0	5.0
66	23	3.0	1.0	2	2.0	4.0	4.0	3.0
71	23	3.0	1.0	0	4.0	4.0	2.0	3.0
73	23	3.0	1.0	1	2.0	4.0	4.0	6.0
74	23	3.0	1.0	1	4.0	4.0	2.0	3.0
76	23	3.0	1.0	1	2.0	4.0	4.0	4.0
77	23	1.0	5.0	0	2.0	4.0	4.0	4.0
78	23	3.0	1.0	1	4.0	4.0	2.0	3.0
79	23	1.0	1.0	2	2.0	4.0	2.0	5.0
80	23	1.0	1.0	1	4.0	4.0	2.0	6.0
85	23	3.0	3.0	2	4.0	4.0	2.0	3.0
87	23	3.0	5.0	0	2.0	4.0	2.0	1.0
93	23	3.0	1.0	1	2.0	4.0	2.0	3.0
94	23	3.0	1.0	1	4.0	4.0	2.0	4.0
96	23	3.0	5.0	1	2.0	4.0	4.0	3.0
97	23	3.0	1.0	1	2.0	4.0	2.0	2.0
102	23	3.0	5.0	0	4.0	4.0	2.0	3.0
105	23	3.0	1.0	1	2.0	4.0	4.0	3.0
110	23	3.0	3.0	0	2.0	4.0	4.0	2.0
111	23	3.0	5.0	0	4.0	4.0	2.0	2.0
112	23	3.0	1.0	1	2.0	4.0	4.0	4.0
113	23	3.0	3.0	0	2.0	4.0	4.0	5.0
116	23	3.0	5.0	0	2.0	4.0	2.0	4.0
117	23	3.0	1.0	1	2.0	4.0	2.0	2.0
119	23	3.0	5.0	1	2.0	4.0	4.0	1.0
120	23	3.0	1.0	1	2.0	4.0	2.0	3.0
124	23	3.0	3.0	0	2.0	4.0	4.0	3.0
132	23	1.0	1.0	1	4.0	4.0	2.0	4.0
134	23	3.0	1.0	0	4.0	4.0	2.0	2.0
139	23	3.0	1.0	0	2.0	2.0	4.0	3.0
140	23	1.0	1.0	2	2.0	4.0	2.0	3.0
142	23	1.0	1.0	1	2.0	4.0	2.0	3.0
143	23	3.0	1.0	1	2.0	4.0	2.0	4.0
144	23	3.0	1.0	0	2.0	4.0	4.0	4.0
152	23	3.0	1.0	1	2.0	4.0	4.0	3.0
157	23	3.0	1.0	1	2.0	4.0	4.0	4.0
160	23	3.0	1.0	1	2.0	4.0	2.0	4.0
161	23	3.0	1.0	1	2.0	4.0	2.0	1.0
167	23	3.0	1.0	0	2.0	4.0	2.0	4.0
169	23	3.0	1.0	1	2.0	4.0	4.0	2.0
175	23	3.0	3.0	0	4.0	4.0	2.0	1.0
176	23	1.0	1.0	2	2.0	2.0	2.0	5.0
179	23	3.0	1.0	1	2.0	4.0	2.0	3.0
180	23	3.0	1.0	0	2.0	4.0	2.0	4.0
181	23	3.0	1.0	1	4.0	4.0	2.0	3.0
186	23	3.0	1.0	0	2.0	4.0	2.0	3.0
189	23	3.0	1.0	1	4.0	4.0	2.0	4.0
191	23	3.0	1.0	1	4.0	4.0	2.0	7.0
197	23	3.0	3.0	0	4.0	4.0	2.0	2.0
205	23	3.0	1.0	0	2.0	4.0	4.0	3.0
207	23	3.0	1.0	1	2.0	4.0	2.0	5.0
211	23	3.0	1.0	0	2.0	4.0	4.0	1.0
229	23	1.0	3.0	4	2.0	4.0	2.0	7.0
230	23	3.0	3.0	0	2.0	4.0	2.0	3.0
232	23	3.0	3.0	2	2.0	4.0	2.0	6.0
237	23	3.0	3.0	1	2.0	4.0	2.0	5.0
240	23	3.0	3.0	0	2.0	4.0	2.0	4.0
243	23	3.0	3.0	1	4.0	2.0	2.0	6.0
244	23	3.0	3.0	0	4.0	4.0	2.0	5.0
245	23	3.0	3.0	1	2.0	2.0	4.0	4.0
247	23	1.0	3.0	1	2.0	2.0	4.0	4.0
249	23	3.0	1.0	1	2.0	4.0	2.0	4.0
250	23	3.0	1.0	2	4.0	2.0	2.0	4.0
255	23	3.0	3.0	1	2.0	4.0	2.0	99.0
257	23	3.0	3.0	0	2.0	2.0	4.0	4.0
264	23	3.0	3.0	1	4.0	4.0	2.0	4.0
272	23	3.0	1.0	0	4.0	4.0	2.0	4.0
274	23	3.0	3.0	1	2.0	4.0	4.0	4.0
277	23	3.0	3.0	1	2.0	2.0	4.0	5.0
278	23	1.0	1.0	2	4.0	4.0	2.0	4.0
280	23	1.0	3.0	1	2.0	4.0	4.0	7.0
284	23	3.0	3.0	2	4.0	4.0	2.0	5.0
285	23	3.0	1.0	1	4.0	4.0	2.0	4.0
286	23	3.0	3.0	1	2.0	4.0	4.0	4.0
